Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice,mortgage_interest,inflation_rates
11,20,RL,70.04995836802665,9478,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1965,1965,Hip,CompShg,HdBoard,HdBoard,,0.0,3,3,CBlock,3.0,3.0,0.0,2.0,906,0.0,0,134,1040,GasA,5,Y,1,1040,0,0,1040,1,0,1,0,3,1,3,5,Typ,0,3.461038961038961,Detchd,1965.0,1.0,1,384,3.0,3.0,1,0,0,0,0,0,0,,0,,0,2,2008,WD,Normal,129500,6.0272,2.8263
12,60,RL,70.04995836802665,9478,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2005,2006,Hip,CompShg,WdShing,Wd Shng,Stone,0.0,5,3,PConc,5.0,3.0,0.0,5.0,998,0.0,0,177,1175,GasA,5,Y,1,1182,1142,0,2324,1,0,3,0,4,1,5,6,Typ,2,4.0,BuiltIn,2005.0,3.0,3,736,3.0,3.0,1,147,21,0,0,0,0,,0,,0,7,2006,New,Partial,163000,6.4133,2.9006
13,20,RL,70.04995836802665,9478,Pave,,IR2,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1962,1962,Hip,CompShg,HdBoard,Plywood,,0.0,3,3,CBlock,3.0,3.0,0.0,4.0,737,0.0,0,175,912,GasA,3,Y,1,912,0,0,912,1,0,1,0,2,1,3,4,Typ,0,3.461038961038961,Detchd,1962.0,1.0,1,352,3.0,3.0,1,140,0,0,0,0,0,,0,,0,9,2008,WD,Normal,144000,6.0272,2.8263
14,20,RL,70.04995836802665,9478,Pave,,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,Stone,0.0,4,3,PConc,4.0,3.0,0.0,0.0,0,0.0,0,1494,1494,GasA,5,Y,1,1494,0,0,1494,0,0,2,0,3,1,4,7,Typ,1,4.0,Attchd,2006.0,2.0,3,840,3.0,3.0,1,160,33,0,0,0,0,,0,,0,8,2007,New,Partial,163000,6.3373,2.6616
15,20,RL,70.04995836802665,9478,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,MetalSd,MetalSd,BrkFace,0.0,3,3,CBlock,3.0,3.0,0.0,3.0,733,0.0,0,520,1253,GasA,3,Y,1,1253,0,0,1253,1,0,1,1,2,1,3,5,Typ,1,3.461038961038961,Attchd,1960.0,2.0,1,352,3.0,3.0,1,0,25,0,0,0,0,,0,,0,5,2008,WD,Normal,157000,6.0272,2.8263
16,45,RM,70.04995836802665,9478,Pave,,Reg,Lvl,AllPub,Corner,Gtl,BrkSide,Norm,Norm,1Fam,1.5Unf,7,5,1929,2001,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,3,3,BrkTil,3.0,3.0,0.0,0.0,0,0.0,0,832,832,GasA,5,Y,1,854,0,0,854,0,0,1,0,2,1,3,5,Typ,0,3.461038961038961,Detchd,1991.0,1.0,2,576,3.0,3.0,1,48,25,0,0,0,0,,0,,0,7,2007,WD,Normal,132000,6.3373,2.6616
17,20,RL,70.04995836802665,9478,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,0.0,3,3,CBlock,3.0,3.0,0.0,4.0,578,0.0,0,426,1004,GasA,5,Y,1,1004,0,0,1004,1,0,1,0,2,1,3,5,Typ,1,3.0,Attchd,1970.0,3.0,2,480,3.0,3.0,1,0,0,0,0,0,0,,0,Shed,0,3,2010,WD,Normal,149000,4.6898,1.0979
18,90,RL,70.04995836802665,9478,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,Duplex,1Story,4,5,1967,1967,Gable,CompShg,MetalSd,MetalSd,,0.0,3,3,Slab,3.5797610681658467,3.0,0.0,2.6380885453267746,0,0.0,0,0,991,GasA,3,Y,1,1296,0,0,1296,0,0,2,0,2,1,3,6,Typ,0,3.461038961038961,CarPort,1967.0,1.0,2,516,3.0,3.0,1,0,0,0,0,0,0,,0,Shed,0,10,2006,WD,Normal,90000,6.4133,2.9006
19,20,RL,70.04995836802665,9478,Pave,,Reg,Lvl,AllPub,Inside,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,5,5,2004,2004,Gable,CompShg,VinylSd,VinylSd,,0.0,3,3,PConc,3.0,3.0,0.0,5.0,646,0.0,0,468,1114,GasA,5,Y,1,1114,0,0,1114,1,0,1,1,3,1,4,6,Typ,0,3.461038961038961,Detchd,2004.0,1.0,2,576,3.0,3.0,1,0,25,0,0,0,0,,0,,0,6,2008,WD,Normal,159000,6.0272,2.8263
20,20,RL,70.04995836802665,9478,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1958,1965,Hip,CompShg,BrkFace,Plywood,,0.0,3,3,CBlock,3.0,3.0,0.0,1.0,504,0.0,0,525,1029,GasA,3,Y,1,1339,0,0,1339,0,0,1,0,3,1,3,6,Min1,0,3.461038961038961,Attchd,1958.0,1.0,1,294,3.0,3.0,1,0,0,0,0,0,0,,0,,0,5,2009,COD,Abnorml,139000,5.0365,0.1662
21,60,RL,70.04995836802665,9478,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2005,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.0,4,3,PConc,5.0,3.0,0.0,0.0,0,0.0,0,1158,1158,GasA,5,Y,1,1158,1218,0,2376,0,0,3,1,4,1,4,9,Typ,1,4.0,BuiltIn,2005.0,2.0,3,853,3.0,3.0,1,240,25,0,0,0,0,,0,,0,11,2006,New,Partial,163000,6.4133,2.9006
22,45,RM,70.04995836802665,9478,Pave,Grvl,Reg,Bnk,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Unf,7,7,1930,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,3,3,PConc,3.0,3.0,0.0,0.0,0,0.0,0,637,637,GasA,5,Y,1,1108,0,0,1108,0,0,1,0,3,1,4,6,Typ,1,4.0,Attchd,1930.0,1.0,1,280,3.0,3.0,1,0,0,0,0,0,0,,0,,0,6,2007,WD,Normal,139400,6.3373,2.6616
23,20,RL,70.04995836802665,9478,Pave,,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2002,2002,Hip,CompShg,VinylSd,VinylSd,BrkFace,0.0,4,3,PConc,4.0,3.0,0.0,0.0,0,0.0,0,477,1777,GasA,5,Y,1,1795,0,0,1795,0,0,2,0,3,1,4,7,Typ,1,4.0,Attchd,2002.0,2.0,2,534,3.0,3.0,1,171,25,0,0,0,0,,0,,0,9,2008,WD,Normal,230000,6.0272,2.8263
24,120,RM,70.04995836802665,9478,Pave,,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,1Story,5,7,1976,1976,Gable,CompShg,CemntBd,CmentBd,,0.0,3,3,PConc,4.0,3.0,0.0,5.0,840,0.0,0,200,1040,GasA,3,Y,1,1060,0,0,1060,1,0,1,0,3,1,3,6,Typ,1,3.0,Attchd,1976.0,1.0,2,572,3.0,3.0,1,100,25,0,0,0,0,,0,,0,6,2007,WD,Normal,129900,6.3373,2.6616
25,20,RL,70.04995836802665,9478,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1968,2001,Gable,CompShg,Plywood,Plywood,,0.0,3,3,CBlock,3.0,3.0,0.0,2.0,188,0.0,0,204,1060,GasA,5,Y,1,1060,0,0,1060,1,0,1,0,3,1,4,6,Typ,1,3.0,Attchd,1968.0,1.0,1,270,3.0,3.0,1,0,90,0,0,0,0,,0,,0,5,2010,WD,Normal,154000,4.6898,1.0979
26,20,RL,70.04995836802665,9478,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,Stone,0.0,4,3,PConc,4.0,3.0,0.0,0.0,0,0.0,0,476,1566,GasA,5,Y,1,1600,0,0,1600,0,0,2,0,3,1,4,7,Typ,1,4.0,Attchd,2007.0,2.0,3,890,3.0,3.0,1,0,56,0,0,0,0,,0,,0,7,2009,WD,Normal,163000,5.0365,0.1662
27,20,RL,70.04995836802665,9478,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1951,2000,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,3,3,CBlock,3.0,3.0,0.0,3.0,234,0.0,0,180,900,GasA,3,Y,1,900,0,0,900,0,0,1,0,3,1,4,5,Typ,0,3.461038961038961,Detchd,2005.0,1.0,2,576,3.0,3.0,1,222,32,0,0,0,0,,0,,0,5,2010,WD,Normal,134800,4.6898,1.0979
28,20,RL,70.04995836802665,9478,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,0.0,4,3,PConc,5.0,3.0,0.0,5.0,1218,0.0,0,486,1704,GasA,5,Y,1,1704,0,0,1704,1,0,2,0,3,1,4,7,Typ,1,4.0,Attchd,2008.0,2.0,3,772,3.0,3.0,1,0,50,0,0,0,0,,0,,0,5,2010,WD,Normal,163000,4.6898,1.0979
29,20,RL,70.04995836802665,9478,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1997,Gable,CompShg,MetalSd,MetalSd,,0.0,3,3,CBlock,3.0,3.0,0.0,3.0,1277,0.0,0,207,1484,GasA,3,Y,1,1600,0,0,1600,1,0,1,0,2,1,3,6,Typ,2,4.0,Attchd,1957.0,2.0,1,319,3.0,3.0,1,288,25,0,0,0,0,,0,,0,12,2006,WD,Normal,207500,6.4133,2.9006
30,30,RM,70.04995836802665,9478,Pave,,IR1,Lvl,AllPub,Inside,Gtl,BrkSide,Feedr,RRNn,1Fam,1Story,4,6,1927,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,3,3,BrkTil,3.0,3.0,0.0,0.0,0,0.0,0,520,520,GasA,2,N,1,520,0,0,520,0,0,1,0,1,1,2,4,Typ,0,3.461038961038961,Detchd,1920.0,1.0,1,240,3.0,3.0,1,49,0,0,0,0,0,,0,,0,5,2008,WD,Normal,68500,6.0272,2.8263
31,70,C (all),70.04995836802665,9478,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,1Fam,2Story,4,4,1920,1950,Gambrel,CompShg,BrkFace,BrkFace,,0.0,3,3,BrkTil,3.0,3.0,0.0,0.0,0,0.0,0,649,649,GasA,3,N,1,649,668,0,1317,0,0,1,0,3,1,3,6,Typ,0,3.461038961038961,Detchd,1920.0,1.0,1,250,3.0,3.0,1,0,54,0,0,0,0,,0,,0,7,2008,WD,Normal,163000,6.0272,2.8263
32,20,RL,70.04995836802665,9478,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,6,1966,2006,Gable,CompShg,HdBoard,HdBoard,,0.0,3,3,CBlock,3.0,3.0,0.0,0.0,0,0.0,0,1228,1228,GasA,4,Y,1,1228,0,0,1228,0,0,1,1,3,1,4,6,Typ,0,3.461038961038961,Attchd,1966.0,1.0,1,271,3.0,3.0,1,0,65,0,0,0,0,,0,,0,6,2008,WD,Normal,149350,6.0272,2.8263
33,20,RL,70.04995836802665,9478,Pave,,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,2007,2007,Gable,CompShg,VinylSd,VinylSd,,0.0,4,3,PConc,5.0,3.0,0.0,0.0,0,0.0,0,1234,1234,GasA,5,Y,1,1234,0,0,1234,0,0,2,0,3,1,4,7,Typ,0,3.461038961038961,Attchd,2007.0,2.0,2,484,3.0,3.0,1,0,30,0,0,0,0,,0,,0,1,2008,WD,Normal,179900,6.0272,2.8263
34,20,RL,70.04995836802665,9478,Pave,,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,5,1959,1959,Hip,CompShg,BrkFace,BrkFace,,0.0,3,3,CBlock,3.0,3.0,0.0,2.0,1018,0.0,0,380,1398,GasA,4,Y,1,1700,0,0,1700,0,0,1,1,4,1,4,6,Typ,1,4.0,Attchd,1959.0,2.0,2,447,3.0,3.0,1,0,38,0,0,0,0,,0,,0,4,2010,WD,Normal,165500,4.6898,1.0979
35,120,RL,70.04995836802665,9478,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,0.0,5,3,PConc,5.0,3.0,0.0,5.0,1153,0.0,0,408,1561,GasA,5,Y,1,1561,0,0,1561,1,0,2,0,2,1,5,6,Typ,1,4.0,Attchd,2005.0,3.0,2,556,3.0,3.0,1,203,47,0,0,0,0,,0,,0,8,2007,WD,Normal,163000,6.3373,2.6616
36,60,RL,70.04995836802665,9478,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,0.0,4,3,PConc,5.0,3.0,0.0,0.0,0,0.0,0,1117,1117,GasA,5,Y,1,1132,1320,0,2452,0,0,3,1,4,1,4,9,Typ,1,4.0,BuiltIn,2004.0,3.0,3,691,3.0,3.0,1,113,32,0,0,0,0,,0,,0,9,2006,WD,Normal,163000,6.4133,2.9006
37,20,RL,70.04995836802665,9478,Pave,,Reg,Lvl,AllPub,Corner,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,5,1994,1995,Gable,CompShg,VinylSd,VinylSd,,0.0,3,3,PConc,4.0,3.0,0.0,0.0,0,0.0,0,1097,1097,GasA,5,Y,1,1097,0,0,1097,0,0,1,1,3,1,3,6,Typ,0,3.461038961038961,Attchd,1995.0,1.0,2,672,3.0,3.0,1,392,64,0,0,0,0,,0,,0,6,2009,WD,Normal,145000,5.0365,0.1662
38,20,RL,70.04995836802665,9478,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,0.0,3,3,CBlock,3.0,3.0,0.0,2.0,1213,0.0,0,84,1297,GasA,4,Y,1,1297,0,0,1297,0,0,1,0,3,1,3,5,Typ,1,3.0,Attchd,1954.0,3.0,2,498,3.0,3.0,1,0,0,0,0,0,0,,0,,0,10,2009,WD,Normal,153000,5.0365,0.1662
39,20,RL,70.04995836802665,9478,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,7,1953,2007,Gable,CompShg,VinylSd,VinylSd,,0.0,3,3,CBlock,3.0,3.0,0.0,5.0,731,0.0,0,326,1057,GasA,3,Y,1,1057,0,0,1057,1,0,1,0,3,1,4,5,Typ,0,3.461038961038961,Detchd,1953.0,1.0,1,246,3.0,3.0,1,0,52,0,0,0,0,,0,,0,1,2010,WD,Abnorml,109000,4.6898,1.0979
40,90,RL,70.04995836802665,9478,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,Duplex,1Story,4,5,1955,1955,Gable,CompShg,AsbShng,Plywood,,0.0,3,3,PConc,3.5797610681658467,3.0,0.0,2.6380885453267746,0,0.0,0,0,991,GasA,3,N,1,1152,0,0,1152,0,0,2,0,2,1,2,6,Typ,0,3.461038961038961,Attchd,1978.5061638868744,1.8165337200870195,0,0,3.0,3.0,1,0,0,0,0,0,0,,0,,0,6,2008,WD,AdjLand,82000,6.0272,2.8263
41,20,RL,70.04995836802665,9478,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1965,1965,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,0.0,3,3,CBlock,3.0,3.0,0.0,2.0,643,0.0,0,445,1088,GasA,5,Y,1,1324,0,0,1324,0,0,2,0,3,1,3,6,Typ,1,3.0,Attchd,1965.0,2.0,2,440,3.0,3.0,1,0,25,0,0,0,0,,0,,0,12,2006,WD,Abnorml,160000,6.4133,2.9006
42,20,RL,70.04995836802665,9478,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Timber,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,VinylSd,VinylSd,,0.0,3,3,CBlock,3.0,3.0,0.0,3.0,967,0.0,0,383,1350,GasA,4,Y,1,1328,0,0,1328,0,0,1,1,2,1,3,5,Typ,2,4.0,Attchd,1959.0,2.0,1,308,3.0,3.0,1,0,25,0,0,0,0,,0,,0,7,2007,WD,Normal,170000,6.3373,2.6616
43,85,RL,70.04995836802665,9478,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,5,7,1983,1983,Gable,CompShg,HdBoard,HdBoard,,0.0,3,3,CBlock,4.0,3.0,0.0,4.0,747,0.0,0,0,840,GasA,4,Y,1,884,0,0,884,1,0,1,0,2,1,4,5,Typ,0,3.461038961038961,Attchd,1983.0,2.0,2,504,3.0,3.0,1,240,0,0,0,0,0,,0,,0,12,2007,WD,Normal,144000,6.3373,2.6616
44,20,RL,70.04995836802665,9478,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,6,1975,1980,Hip,CompShg,VinylSd,VinylSd,,0.0,3,3,CBlock,4.0,3.0,0.0,1.0,280,0.0,0,167,938,GasA,3,Y,1,938,0,0,938,1,0,1,0,3,1,3,5,Typ,0,3.461038961038961,Detchd,1977.0,1.0,1,308,3.0,3.0,1,145,0,0,0,0,0,,0,,0,7,2008,WD,Normal,130250,6.0272,2.8263
45,20,RL,70.04995836802665,9478,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1959,1959,Gable,CompShg,BrkFace,Wd Sdng,,0.0,3,3,CBlock,3.0,3.0,0.0,4.0,179,0.0,0,465,1150,GasA,5,Y,1,1150,0,0,1150,1,0,1,0,3,1,3,6,Typ,0,3.461038961038961,Attchd,1959.0,2.0,1,300,3.0,3.0,1,0,0,0,0,0,0,,0,,0,5,2006,WD,Normal,141000,6.4133,2.9006
46,120,RL,70.04995836802665,9478,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,9,5,2005,2005,Hip,CompShg,MetalSd,MetalSd,BrkFace,0.0,5,3,PConc,5.0,3.0,0.0,5.0,456,0.0,0,1296,1752,GasA,5,Y,1,1752,0,0,1752,1,0,2,0,2,1,5,6,Typ,1,4.0,Attchd,2005.0,2.0,2,576,3.0,3.0,1,196,82,0,0,0,0,,0,,0,2,2010,WD,Normal,163000,4.6898,1.0979
47,50,RL,70.04995836802665,9478,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,,0.0,4,3,PConc,5.0,3.0,0.0,5.0,1351,0.0,0,83,1434,GasA,5,Y,1,1518,631,0,2149,1,0,1,1,1,1,4,6,Typ,1,3.461038961038961,Attchd,2003.0,2.0,2,670,3.0,3.0,1,168,43,0,0,0,0,,0,,0,8,2009,WD,Abnorml,239686,5.0365,0.1662
48,20,FV,70.04995836802665,9478,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,,0.0,4,3,PConc,4.0,3.0,0.0,5.0,24,0.0,0,476,1656,GasA,5,Y,1,1656,0,0,1656,0,0,2,0,3,1,4,7,Typ,0,3.461038961038961,Attchd,2006.0,2.0,3,826,3.0,3.0,1,0,25,0,0,0,0,,0,,0,7,2007,WD,Normal,249700,6.3373,2.6616
